LD incidence,Island*,Habitat,Year,Longitude,Latitude,TNC,NP1M,NT,Prevalence
Low,S. Harris,I. grassland,2018,57.8229,-7.04121,100,32.5,100,0
Low,S. Harris,I. grassland,2019,57.8033,-6.76844,190,20,50,2
Low,S. Harris,I. grassland,2019,57.8599,-6.97867,1,0,NA,NA
Low,S. Harris,I. grassland,2019,57.83909,-6.75505,6,0,NA,NA
Low,S. Harris,H. moorland,2018,57.76642,-6.99558,100,10.5,100,0
Low,S. Harris,H. moorland,2019,57.85464,-6.7791,9,1,NA,NA
Low,S. Harris,H. moorland,2019,57.85119,-6.96178,21,1,NA,NA
Low,S. Harris,H. moorland,2019,57.81542,-6.92514,1,0,NA,NA
Low,Barra,I. grassland,2018,57.00991,-7.49054,98,5.5,98,0
Low,Barra,I. grassland,2019,56.98296,-7.50262,1,0.5,NA,NA
Low,Barra,I. grassland,2019,56.99873,-7.49991,1,0,NA,NA
Low,Barra,I. grassland,2019,57.04221,-7.4273,1,0,NA,NA
Low,Barra,H. moorland,2018,57.01508,-7.45006,110,6,100,0
Low,Barra,H. moorland,2019,56.96077,-7.51683,59,4.5,54,0
Low,Barra,H. moorland,2019,56.97012,-7.50559,137,8.5,57,0
Low,Barra,H. moorland,2019,56.97535,-7.42723,84,2,50,6
High,N. Uist,I. grassland,2018,57.64579,-7.2785,18,1,NA,NA
High,N. Uist,I. grassland,2018,57.59542,-7.37803,59,44.5,50,18
High,N. Uist,I. grassland,2018,57.55027,-7.27865,51,17,50,2
High,N. Uist,I. grassland,2018,57.55679,-7.36161,52,1.5,49,6.12
High,N. Uist,H. moorland,2018,57.64992,-7.47042,52,17,50,4
High,N. Uist,H. moorland,2018,57.56901,-7.28658,15,0,NA,NA
High,N. Uist,H. moorland,2018,57.57699,-7.35361,57,48,50,14
High,N. Uist,H. moorland,2018,57.62612,-7.20569,76,4,76,5.26
High,Benb.,I. grassland,2018,57.41507,-7.30903,9,1,NA,NA
High,Benb.,I. grassland,2018,57.42847,-7.35645,23,2.5,NA,NA
High,Benb.,H. moorland,2018,57.43784,-7.36701,51,12,50,2
High,Benb.,H. moorland,2018,57.46292,-7.2977,20,2,20,NA
High,S. Uist,I. grassland,2018,57.39698,-7.34315,9,0.5,NA,NA
High,S. Uist,I. grassland,2018,57.33157,-7.36658,0,0,NA,NA
High,S. Uist,I. grassland,2018,57.27389,-7.39276,76,10,58,12.07
High,S. Uist,I. grassland,2018,57.19942,-7.40313,76,10.5,50,4
